PeahenID,lum.max,lum.average,hueUV.max,hueUV.average,hueRBG.max,hueRBG.average,saturation.max,saturation.average,DS_Value,Rank,Tarsus_R,Metatarsus,Weight,WingLength
P25,0.073654908,0.040661567,-0.353753739,-1.00013798,3.131581073,0.514218882,0.408616412,0.183532728,174.1529,4,104,183,3720,420
P18,0.07240993,0.033368256,0.052592956,-0.704068185,1.940937353,0.831682355,0.505209674,0.218853676,-180.251,23,112,197,4435,424
P15,0.188408481,0.060709599,-0.041975803,-0.772682031,2.992696198,1.258817182,0.641459677,0.30896056,-86.251,18,111,199,3835,426
P23,0.111971549,0.051748175,-0.458953199,-0.815476161,2.340811212,1.260251185,0.515358499,0.267774619,-21.2618,12,106,197,3510,399
P41,0.107222459,0.056767973,-0.478140717,-0.844703569,3.084208788,1.47169051,0.500808639,0.239914825,-172.031,22,103,193,4360,434
P13,0.129069115,0.057905143,-0.636345212,-0.80255221,2.129254152,1.489173416,0.622528382,0.400468805,-227.701,24,109,195,3730,419
P31,0.190188396,0.077857327,-0.601220415,-0.841773348,2.494608071,1.513394567,0.633470267,0.358508936,282.23659,1,114,203,3800,431
P33,0.173640591,0.070268913,-0.517904112,-0.787920941,3.112757061,1.592270907,0.512260038,0.309193105,64.44914,8,104,287,3935,432
P5,0.176145832,0.083741459,-0.593846568,-0.826504236,2.799884787,1.605635839,0.50450089,0.360315692,179.249,3,110,187,3635,419
P11,0.19505493,0.071639443,-0.393407986,-0.720326011,2.921367401,1.606535634,0.606797725,0.344530501,59.2252,9,110,194,4135,430
P36,0.108848904,0.051821471,-0.434517569,-0.824792989,2.767077765,1.665958519,0.498775386,0.330992699,-42.501,16,113,200,4045,430
P40,0.167284625,0.08046442,-0.581160712,-0.782843662,2.347804992,1.680277535,0.573521352,0.357494368,-98.861,20,117,203,4565,435
P19,0.1007181,0.062319184,-0.587994454,-0.840989076,3.075913972,1.68209407,0.489302421,0.30475742,-26.001,14,110,197,4220,428
P10,0.136920467,0.059234172,-0.469949177,-0.749982572,2.964630586,1.71527492,0.55729447,0.323401459,-40.251,15,109,192,4100,425
P43,0.153081947,0.080249863,-0.607298439,-0.782528727,2.386447219,1.716693956,0.546023101,0.364970009,-93.501,19,109,198,3895,428
P27,0.209370241,0.089723229,-0.579777765,-0.721044771,2.497161948,1.79967517,0.578775372,0.419416121,220.02358,2,110,197,3605,432
P35,0.187719656,0.104686892,-0.489623473,-0.685520154,2.604535479,1.809012486,0.579849272,0.445746009,156.50014,5,116,206,4025,430
P56,0.094723797,0.046955663,-0.562702138,-0.768989593,3.022813357,1.837688495,0.47460152,0.274363236,-149.75075,21,111,197,4530,444
P26,0.268107425,0.114151312,-0.222084142,-0.689975708,3.125684046,1.894701075,0.54411682,0.334835569,0.499,11,109,190,4165,415
P58,0.187780338,0.080100668,-0.482258854,-0.743428754,2.924302272,1.943318564,0.569041886,0.381404615,151.749,6,105,191,3910,432
P22,0.137009211,0.071096954,-0.332426717,-0.649232599,2.561514866,1.949765745,0.528618349,0.377448216,-235.501,25,109,196,3910,425
P32,0.26188076,0.093156563,-0.46042228,-0.697552756,3.069723402,2.102613736,0.574358036,0.383412123,102.74914,7,106,200,4190,430
P24,0.173243215,0.091837476,-0.453074623,-0.648848603,2.607715729,2.200378672,0.532137073,0.425148628,-61.11,17,115,205,4510,430
P39,0.112141772,0.059084452,-0.366275112,-0.719395265,2.950745725,2.302648801,0.410709763,0.262225674,40.749,10,108,192,3965,420
